SR_NUMBER,SR_TYPE,SR_SHORT_CODE,CREATED_DEPARTMENT,OWNER_DEPARTMENT,STATUS,ORIGIN,CREATED_DATE,LAST_MODIFIED_DATE,CLOSED_DATE,STREET_ADDRESS,CITY,STATE,ZIP_CODE,STREET_NUMBER,STREET_DIRECTION,STREET_NAME,STREET_TYPE,DUPLICATE,LEGACY_RECORD,LEGACY_SR_NUMBER,PARENT_SR_NUMBER,COMMUNITY_AREA,WARD,ELECTRICAL_DISTRICT,ELECTRICITY_GRID,POLICE_SECTOR,POLICE_DISTRICT,POLICE_BEAT,PRECINCT,SANITATION_DIVISION_DAYS,CREATED_HOUR,CREATED_DAY_OF_WEEK,CREATED_MONTH,X_COORDINATE,Y_COORDINATE,LATITUDE,LONGITUDE,LOCATION
SR23-00411469,Building Violation,BBA,Health,DOB - Buildings,Open,Mobile Device,3/17/23 9:39,3/17/23 9:39,,5125 S KENWOOD AVE,,,,5125,S,KENWOOD,AVE,TRUE,FALSE,,SR23-00408631,41,4,,T034,3,2,234,1,,9,6,3,1186107.077,1871155.941,41.801589,-87.593004,"(41.80158900094019, -87.5930040000019)"
SR23-00411876,Inspect Public Way Request,PBD,Health,CDOT - Department of Transportation,Completed,Internet,3/17/23 10:20,3/20/23 13:34,3/20/23 13:34,4113 N ASHLAND AVE,,,,4113,N,ASHLAND,AVE,FALSE,FALSE,,,6,47,,M012,1,19,1912,18,,10,6,3,1165011.38,1927471.475,41.956596,-87.6687705,"(41.95659600094071, -87.6687705000019)"
SR23-00424983,Restaurant Complaint,HFB,Health,Health,Completed,E-Mail,3/20/23 9:31,3/21/23 12:44,3/21/23 12:44,1644 W 95TH ST,,,,1644,W,95TH,ST,FALSE,FALSE,,,72,19,,L044,2,22,2221,13,,9,2,3,1166837.593,1841811.653,41.721498,-87.664509,"(41.721498000939896, -87.6645090000019)"
SR23-00426633,Fly Dumping Complaint,SDR,Health,Streets and Sanitation,Open,CSCC,3/20/23 12:42,3/20/23 12:42,,1900 S WESTERN AVE,,,,1900,S,WESTERN,AVE,FALSE,FALSE,,,31,28,,J026,2,10,1023,19,,12,2,3,1160569.63,1890592.292,41.85549,-87.6861225,"(41.85549000094035, -87.68612250000191)"
SR23-00430499,Pothole in Street Complaint,PHF,Health,CDOT - Department of Transportation,Open,CSCC,3/21/23 6:24,3/21/23 6:24,,2666 E 73RD ST,,,,2666,E,73RD,ST,FALSE,FALSE,,,43,7,,W039,3,3,334,6,,6,3,3,1195233.942,1857785.833,41.76468,-87.559974,"(41.76468000094004, -87.5599740000019)"
SR23-00430569,Clean Vacant Lot Request,SCT,Health,Streets and Sanitation,Open,CSCC,3/21/23 6:48,3/21/23 6:48,,1531 W 79TH ST,,,,1531,W,79TH,ST,FALSE,FALSE,,,71,17,,M041,1,6,612,38,,6,3,3,1167257.447,1852257.507,41.750154,-87.662673,"(41.75015400093999, -87.66267300000192)"
SR23-00431302,Restaurant Complaint,HFB,Health,Health,Open,E-Mail,3/21/23 8:43,3/21/23 8:49,,2302 W 95TH ST,,,,2302,W,95TH,ST,FALSE,FALSE,,,72,19,,K044,2,22,2221,5,,8,3,3,1162664.528,1841619.32,41.72105816,-87.67979959,"(41.72105815729843, -87.6797995900314)"
SR23-00433866,Tree Debris Clean-Up Request,SEL,Health,Streets and Sanitation,Completed,Phone Call,3/21/23 13:30,3/21/23 21:19,3/21/23 21:19,8401 S WABASH AVE,,,,8401,S,WABASH,AVE,FALSE,FALSE,,,44,6,,Q042,3,6,632,29,,13,3,3,1178274.076,1849279.405,41.741739,-87.6223935,"(41.741739000939944, -87.62239350000192)"
SR23-00411036,Restaurant Complaint,HFB,Health,Health,Open,E-Mail,3/17/23 8:52,3/17/23 9:36,,1804 W IRVING PARK RD,,,,1804,W,IRVING PARK,RD,FALSE,FALSE,,,5,47,,L012,1,19,1912,25,,8,6,3,1163473.32,1926620.737,41.95429412,-87.67444886,"(41.954294124117745, -87.67444885679096)"
SR23-00424430,Abandoned Vehicle Complaint,SKA,Health,Streets and Sanitation,Completed,CSCC,3/20/23 8:21,3/21/23 9:20,3/21/23 9:20,4858 S WINCHESTER AVE,,,,4858,S,WINCHESTER,AVE,FALSE,FALSE,,,61,15,,L033,3,9,931,14,,8,2,3,1164099.349,1872223.021,41.805009,-87.6736845,"(41.805009000940174, -87.6736845000019)"
SR23-00362292,Inspect Public Way Request,PBD,Health,CDOT - Department of Transportation,Completed,Phone Call,3/8/23 14:07,3/9/23 10:13,3/9/23 10:13,1140 W ERIE ST,,,,1140,W,ERIE,ST,FALSE,FALSE,,,24,27,,N021,1,12,1214,40,,14,4,3,1168602.974,1904508.062,41.893506,-87.6562335,"(41.89350600094049, -87.6562335000019)"
SR23-00368409,Business Complaints,RBL,Health,BACP - Business Affairs and Consumer Protection,Open,Phone Call,3/9/23 14:10,3/9/23 14:10,,6311 W TOUHY AVE,,,,6311,W,TOUHY,AVE,FALSE,FALSE,,,12,45,,A005,2,16,1621,39,,14,5,3,1133291.415,1947338.976,42.01173,-87.7849155,"(42.0117300009409, -87.78491550000192)"
SR23-00368442,Inspect Public Way Request,PBD,Health,CDOT - Department of Transportation,Completed,Phone Call,3/9/23 14:13,3/10/23 15:11,3/10/23 15:11,2659 N CLARK ST,,,,2659,N,CLARK,ST,FALSE,FALSE,,,7,43,,O016,3,19,1935,36,,14,5,3,1171825.112,1918272.884,41.931207,-87.6439935,"(41.93120700094064, -87.6439935000019)"
SR23-00054195,No Building Permit and Construction Violation,BBD,Health,DOB - Buildings,Completed,Alderman's Office,1/11/23 9:50,1/18/23 9:23,1/18/23 9:23,3450 N TROY ST,,,,3450,N,TROY,ST,FALSE,FALSE,,,21,33,,I014,3,17,1733,4,,9,4,1,1154686.765,1922900.367,41.944266,-87.7068495,"(41.94426600094067, -87.70684950000192)"
SR23-00273325,Building Violation,BBA,Health,DOB - Buildings,Completed,Alderman's Office,2/21/23 10:24,3/3/23 14:51,3/3/23 14:51,1818 N WELLS ST,,,,1818,N,WELLS,ST,FALSE,FALSE,,,7,43,,P018,1,18,1814,19,,10,3,2,1174345.766,1912509.942,41.91533727,-87.63490315,"(41.91533726595308, -87.63490315055886)"
SR23-00151178,No Building Permit and Construction Violation,BBD,Health,DOB - Buildings,Completed,Phone Call,1/30/23 8:48,3/14/23 15:48,3/14/23 15:48,3119 N RACINE AVE,,,,3119,N,RACINE,AVE,FALSE,FALSE,,,6,44,,N015,3,19,1933,10,,8,2,1,1167816.902,1920946.856,41.938632,-87.6586455,"(41.93863200094065, -87.6586455000019)"
SR23-00285782,Restaurant Complaint,HFB,Health,Health,Open,E-Mail,2/23/23 8:48,3/7/23 15:07,,1949 W DIVISION ST,,,,1949,W,DIVISION,ST,FALSE,FALSE,,,24,1,,L020,1,12,1212,5,,8,5,2,1162995.842,1907904.987,41.902947,-87.676731,"(41.90294700094054, -87.67673100000191)"
SR22-01963199,Restaurant Complaint,HFB,Health,Health,Completed,E-Mail,11/10/22 9:43,11/17/22 10:45,11/17/22 10:45,7055 W ARCHER AVE,,,,7055,W,ARCHER,AVE,FALSE,FALSE,,,56,23,,Y134,1,8,811,36,,9,5,11,1130013.231,1867348.765,41.792283,-87.7988115,"(41.79228300094014, -87.79881150000192)"
SR23-00360878,Building Violation,BBA,Health,DOB - Buildings,Completed,Phone Call,3/8/23 11:26,3/9/23 8:49,3/9/23 8:49,5241 N WESTERN AVE,,,,5241,N,WESTERN,AVE,FALSE,FALSE,,,4,40,,K009,1,20,2012,21,,11,4,3,1159476.258,1934943.282,41.977215,-87.6889125,"(41.97721500094075, -87.6889125000019)"
SR23-00251865,Building Violation,BBA,Health,DOB - Buildings,Completed,Phone Call,2/16/23 15:34,3/1/23 10:01,3/1/23 10:01,3108 W BELMONT AVE,,,,3108,W,BELMONT,AVE,FALSE,FALSE,,,21,33,,I014,3,17,1733,4,,15,5,2,1155032.436,1921171.162,41.939514,-87.7056255,"(41.93951400094067, -87.70562550000191)"
SR23-00323829,Restaurant Complaint,HFB,Health,Health,Open,City Department,3/1/23 14:18,3/1/23 14:21,,3224 N DAMEN AVE,,,,3224,N,DAMEN,AVE,FALSE,FALSE,,,5,32,,K014,2,19,1921,42,,14,4,3,1162349.186,1921521.07,41.940324,-87.6787245,"(41.94032400094066, -87.67872450000192)"
SR23-00273952,Clean Vacant Lot Request,SCT,Health,Streets and Sanitation,Completed,CSCC,2/21/23 11:19,3/7/23 12:47,3/7/23 12:47,6410 S STEWART AVE,,,60621,6410,S,STEWART,AVE,FALSE,FALSE,,,68,6,,O037,2,7,722,29,,11,3,2,1174724.844,1862496.066,41.77808683,-87.6350046,"(41.77808682862584, -87.6350045997797)"
SR23-00285813,Restaurant Complaint,HFB,Health,Health,Open,E-Mail,2/23/23 8:52,3/7/23 15:14,,180 N MORGAN ST,,,,180,N,MORGAN,ST,FALSE,FALSE,,,28,27,,N022,2,12,1224,16,,8,5,2,1169724.291,1901591.08,41.88547725,-87.65220036,"(41.88547724902285, -87.65220036159063)"
SR23-00285867,Restaurant Complaint,HFB,Health,Health,Canceled,E-Mail,2/23/23 8:56,3/7/23 15:13,3/7/23 15:13,2001 S MICHIGAN AVE,,,,2001,S,MICHIGAN,AVE,FALSE,FALSE,,,33,3,,Q026,3,1,132,40,,8,5,2,1177541.495,1890709.145,41.85544272,-87.6238247,"(41.85544271523476, -87.62382470409251)"
SR23-00425607,Restaurant Complaint,HFB,Health,Health,Open,E-Mail,3/20/23 10:47,3/20/23 12:07,,1058 W POLK ST,,,,1058,W,POLK,ST,FALSE,FALSE,,,28,34,,N024,3,12,1232,25,,10,2,3,1169391.234,1896647.068,41.87191777,-87.6535672,"(41.87191776474756, -87.65356719856572)"
SR23-00337484,Missed Garbage Pick-Up Complaint,SCC,Health,Streets and Sanitation,Completed,Phone Call,3/3/23 16:03,3/7/23 11:41,3/7/23 11:41,4920 N LINCOLN AVE,,,,4920,N,LINCOLN,AVE,FALSE,FALSE,,,4,40,,J010,3,20,2031,3,,16,6,3,1159094.018,1932802.028,41.97134718,-87.69037727,"(41.97134718013204, -87.69037727114818)"
SR23-00426424,Restaurant Complaint,HFB,Health,Health,Open,E-Mail,3/20/23 12:19,3/21/23 11:41,,1364 W RANDOLPH ST,,,,1364,W,RANDOLPH,ST,FALSE,FALSE,,,28,27,,M022,2,12,1224,33,,12,2,3,1167230.777,1901207.638,41.884479,-87.661368,"(41.884479000940466, -87.66136800000191)"
SR23-00393016,Restaurant Complaint,HFB,Health,Health,Open,E-Mail,3/14/23 11:07,3/14/23 11:52,,100 W 87TH ST,,,,100,W,87TH,ST,FALSE,FALSE,,,44,21,,P042,2,6,622,31,,11,3,3,1177034.461,1847380.07,41.736555,-87.6269925,"(41.73655500093993, -87.62699250000192)"
SR23-00393042,Restaurant Complaint,HFB,Health,Health,Open,E-Mail,3/14/23 11:11,3/14/23 11:58,,6324 N BROADWAY,,,,6324,N,BROADWAY,,FALSE,FALSE,,,77,48,,M007,3,24,2433,45,,11,3,3,1167023.758,1942285.836,41.997204,-87.660945,"(41.99720400094083, -87.6609450000019)"
SR22-01992787,Aircraft Noise Complaint,AVN,Health,Aviation,Completed,Mobile Device,11/16/22 10:53,11/16/22 11:31,11/16/22 10:53,10510 W ZEMKE RD,Chicago,Illinois,60666,10510,W,ZEMKE,RD,FALSE,FALSE,,,76,41,,,5,16,1654,27,,10,4,11,1105376.767,1941043.788,41.9949,-87.8877495,"(41.99490000094086, -87.8877495000019)"
SR20-05611358,Business Complaints,RBL,Health,BACP - Business Affairs and Consumer Protection,Completed,Phone Call,12/11/20 8:06,3/17/23 12:51,12/23/20 15:10,1448 W MADISON ST,,,60607,1448,W,MADISON,ST,FALSE,FALSE,,,28,27,,M022,2,12,1224,2,,8,6,12,1166558.091,1900129.748,41.88153561,-87.66386906,"(41.88153561420363, -87.66386905856213)"
SR23-00411480,Building Violation,BBA,Health,DOB - Buildings,Open,Mobile Device,3/17/23 9:41,3/17/23 9:41,,5125 S KENWOOD AVE,,,,5125,S,KENWOOD,AVE,TRUE,FALSE,,SR23-00408631,41,4,,T034,3,2,234,1,,9,6,3,1186107.077,1871155.941,41.801589,-87.593004,"(41.80158900094019, -87.5930040000019)"
SR22-01486322,Restaurant Complaint,HFB,Health,Health,Completed,E-Mail,8/22/22 8:05,1/24/23 14:49,1/24/23 14:49,1027 W ADDISON ST,,,60613,1027,W,ADDISON,ST,FALSE,FALSE,,,6,44,,N014,2,19,1924,38,,8,2,8,1168654.345,1923985.65,41.94695246,-87.6554794,"(41.946952456819574, -87.65547939649669)"
SR22-01509977,Building Violation,BBA,Health,DOB - Buildings,Completed,Phone Call,8/25/22 14:23,1/24/23 14:49,1/24/23 14:48,2404 W CUYLER AVE,,,60618,2404,W,CUYLER,AVE,FALSE,FALSE,,,5,47,,J012,1,19,1911,17,,14,5,8,1159575.588,1926836.849,41.95496849,-87.68877148,"(41.95496848555121, -87.68877148078218)"
SR23-00172993,Restaurant Complaint,HFB,Health,Health,Completed,E-Mail,2/2/23 13:57,2/10/23 8:06,2/10/23 8:06,1471 N MILWAUKEE AVE,,,,1471,N,MILWAUKEE,AVE,FALSE,FALSE,,,24,1,,L019,2,14,1424,11,,13,5,2,1163594.405,1910044.724,41.908806,-87.674472,"(41.90880600094054, -87.6744720000019)"
SR22-02018312,Restaurant Complaint,HFB,Health,Health,Completed,E-Mail,11/21/22 15:22,11/30/22 7:41,11/30/22 7:41,4623 N BROADWAY,,,,4623,N,BROADWAY,,FALSE,FALSE,,,3,46,,N011,1,19,1914,20,,15,2,11,1167963.355,1930940.517,41.96605185,-87.65781776,"(41.966051846134484, -87.65781775500398)"
SR23-00362062,Building Violation,BBA,Health,DOB - Buildings,Completed,Phone Call,3/8/23 13:41,3/9/23 8:47,3/9/23 8:47,2300 W FARRAGUT AVE,,,,2300,W,FARRAGUT,AVE,FALSE,FALSE,,,4,40,,K009,1,20,2012,21,,13,4,3,1160008.995,1934884.979,41.977044,-87.686955,"(41.97704400094078, -87.6869550000019)"
SR23-00179657,Missed Garbage Pick-Up Complaint,SCC,Health,Streets and Sanitation,Completed,Internet,2/3/23 14:50,2/8/23 13:59,2/8/23 13:59,5429 W GRACE ST,,,,5429,W,GRACE,ST,FALSE,FALSE,,,15,30,,C013,3,16,1633,35,,14,6,2,1139363.898,1924692.394,41.949477,-87.7631265,"(41.949477000940696, -87.76312650000192)"
SR23-00166280,Clean Vacant Lot Request,SCT,Health,Streets and Sanitation,Completed,CSCC,2/1/23 13:20,2/27/23 8:15,2/27/23 8:15,6300 S VERNON AVE,,,,6300,S,VERNON,AVE,FALSE,FALSE,,,42,20,,R037,1,3,312,35,,13,4,2,1180318.713,1863316.139,41.78021071,-87.6144723,"(41.78021070524153, -87.61447229570048)"
SR23-00293068,Building Violation,BBA,Health,DOB - Buildings,Completed,Phone Call,2/24/23 8:58,2/27/23 13:08,2/27/23 13:08,5359 W IRVING PARK RD,,,,5359,W,IRVING PARK,RD,FALSE,FALSE,,,15,30,,C013,3,16,1634,35,,8,6,2,1139684.552,1925990.039,41.953032,-87.761916,"(41.9530320009407, -87.76191600000192)"
SR22-02052887,Water On Street Complaint,AAE,Health,DWM - Department of Water Management,Completed,Phone Call,11/29/22 11:08,11/29/22 14:13,11/29/22 14:13,8700 S STATE ST,,,,8700,S,STATE,ST,FALSE,FALSE,,,44,21,,P042,2,6,622,31,,11,3,11,1177608.395,1847489.739,41.736843,-87.6248865,"(41.73684300093992, -87.6248865000019)"
SR23-00176824,Restaurant Complaint,HFB,Health,Health,Completed,Phone Call,2/3/23 9:23,2/10/23 8:03,2/10/23 8:03,6216 W 63RD ST,,,,6216,W,63RD,ST,FALSE,FALSE,,,64,13,,A036,1,8,812,11,,9,6,2,1135958.211,1862148.855,41.77791,-87.777135,"(41.77791000094005, -87.77713500000192)"
SR23-00204287,Building Violation,BBA,Health,DOB - Buildings,Open,Phone Call,2/8/23 11:14,2/8/23 11:14,,11000 S AVENUE C,,,,11000,S,AVENUE C,,FALSE,FALSE,,,52,10,,Z049,3,4,433,19,,11,4,2,1204387.209,1832589.18,41.695308,-87.5272905,"(41.69530800093978, -87.52729050000191)"
SR23-00434674,Building Violation,BBA,Health,DOB - Buildings,Open,Phone Call,3/21/23 14:55,3/21/23 14:55,,936 W 52ND ST,,,,936,W,52ND,ST,FALSE,FALSE,,,61,20,,N034,3,9,934,2,,14,3,3,1170776.038,1870379.844,41.7998079,-87.64925107,"(41.799807898868515, -87.64925107028533)"
SR23-00092334,Restaurant Complaint,HFB,Health,Health,Completed,Internet,1/18/23 15:09,2/3/23 7:47,2/3/23 7:47,1415 N WOOD ST,,,,1415,N,WOOD,ST,FALSE,FALSE,,,24,1,,L019,3,14,1433,25,,15,4,1,1164217.395,1909636.263,41.907672,-87.672195,"(41.90767200094054, -87.67219500000192)"
SR22-01031537,No Building Permit and Construction Violation,BBD,Health,DOB - Buildings,Open,Phone Call,6/16/22 13:02,12/2/22 13:05,,2841 N FRANCISCO AVE,,,60618,2841,N,FRANCISCO,AVE,FALSE,FALSE,,,21,35,,I015,1,14,1411,14,,13,5,6,1156626.203,1918939.356,41.93335759,-87.69982854,"(41.93335759175452, -87.69982854013378)"
SR22-02071523,Restaurant Complaint,HFB,Health,Health,Completed,E-Mail,12/2/22 14:13,12/8/22 7:31,12/8/22 7:31,118 W GRAND AVE,,,,118,W,GRAND,AVE,FALSE,FALSE,,,8,42,,P021,3,18,1831,32,,14,6,12,1175201.956,1903957.584,41.89185,-87.6320145,"(41.89185000094047, -87.6320145000019)"
SR23-00356759,Restaurant Complaint,HFB,Health,Health,Open,Mail,3/7/23 15:48,3/7/23 15:49,,2757 W 55TH ST,,,,2757,W,55TH,ST,FALSE,FALSE,,,63,15,,J035,2,8,824,16,,15,3,3,1158688.519,1868032.704,41.79362246,-87.6936436,"(41.79362245454613, -87.69364360005767)"
SR23-00427869,Restaurant Complaint,HFB,Health,Health,Open,E-Mail,3/20/23 14:58,3/21/23 8:35,,2743 N ELSTON AVE,,,,2743,N,ELSTON,AVE,FALSE,FALSE,,,22,32,,K016,3,14,1432,1,,14,2,3,1160209.426,1918283.62,41.9314848,-87.68667859,"(41.931484799507956, -87.68667858752194)"
SR23-00430451,Fly Dumping Complaint,SDR,Health,Streets and Sanitation,Open,CSCC,3/21/23 6:02,3/21/23 6:02,,7229 S HALSTED ST,,,,7229,S,HALSTED,ST,FALSE,FALSE,,,68,6,,O039,3,7,732,25,,6,3,3,1172367.628,1856804.248,41.76252,-87.6438135,"(41.76252000094002, -87.64381350000191)"
SR22-01925622,Building Violation,BBA,Health,DOB - Buildings,Completed,Phone Call,11/3/22 14:47,3/20/23 17:02,3/20/23 17:02,2834 N BROADWAY ST,,,60657,2834,N,BROADWAY,ST,FALSE,FALSE,,,6,44,,O015,3,19,1934,18,,14,5,11,1171570.168,1919297.956,41.93402547,-87.64490012,"(41.934025464748174, -87.64490011625841)"
SR22-01260713,Buildings - Plumbing Violation,BBC,Health,DOB - Buildings,Completed,Phone Call,7/19/22 11:15,1/13/23 7:15,1/13/23 7:15,12026 S LAFAYETTE AVE,,,60628,12026,S,LAFAYETTE,AVE,TRUE,FALSE,,SR22-01235051,53,9,,P051,2,5,523,11,,11,3,7,1178013.634,1825099.932,41.6753931,-87.62407745,"(41.675393098254865, -87.6240774447781)"
SR23-00361987,Business Complaints,RBL,Health,BACP - Business Affairs and Consumer Protection,Open,Phone Call,3/8/23 13:34,3/8/23 13:34,,11100 S STATE ST,,,,11100,S,STATE,ST,FALSE,FALSE,,,49,9,,P049,2,5,522,38,,13,4,3,1178211.354,1831347.062,41.69253169,-87.62316527,"(41.69253168728774, -87.62316526756089)"
SR23-00063455,Building Violation,BBA,Health,DOB - Buildings,Completed,Alderman's Office,1/12/23 14:53,1/13/23 9:06,1/13/23 9:05,3130 N CLYBOURN AVE,,,,3130,N,CLYBOURN,AVE,FALSE,FALSE,,,5,32,,K015,3,19,1931,19,,14,5,1,1160164.415,1920773.091,41.938317,-87.686775,"(41.93831700094065, -87.68677500000189)"
SR22-02190053,Building Violation,BBA,Health,DOB - Buildings,Completed,Mobile Device,12/27/22 11:06,1/4/23 14:41,1/4/23 14:41,5554 N MAJOR AVE,,,,5554,N,MAJOR,AVE,FALSE,FALSE,,,11,45,,B009,2,16,1622,39,,11,3,12,1137125.028,1936793.087,41.982723,-87.7710645,"(41.98272300094077, -87.7710645000019)"
SR23-00387404,Restaurant Complaint,HFB,Health,Health,Open,E-Mail,3/13/23 13:28,3/15/23 12:57,,633 N ST CLAIR ST,,,,633,N,ST CLAIR,ST,FALSE,FALSE,,,8,2,,Q021,3,18,1834,35,,13,2,3,1177741.3,1904578.834,41.89349741,-87.62266983,"(41.89349740917515, -87.6226698334017)"
SR23-00248243,Restaurant Complaint,HFB,Health,Health,Canceled,E-Mail,2/16/23 8:59,2/16/23 12:30,2/16/23 12:30,2226 N CALIFORNIA AVE,,,,2226,N,CALIFORNIA,AVE,FALSE,FALSE,,,22,1,,I017,1,14,1414,19,,8,5,2,1157264.941,1915001.92,41.92254,-87.6975885,"(41.92254000094059, -87.6975885000019)"
SR23-00275804,Rodent Baiting/Rat Complaint,SGA,Health,Streets and Sanitation,Completed,CSCC,2/21/23 14:28,2/24/23 9:51,2/24/23 9:51,3612 W DOUGLAS BLVD,,,,3612,W,DOUGLAS,BLVD,FALSE,FALSE,,,29,24,,G025,1,10,1011,24,,14,3,2,1152428.428,1893244.131,41.86293146,-87.71593472,"(41.86293146153942, -87.71593471790645)"
SR22-02063572,No Building Permit and Construction Violation,BBD,Health,DOB - Buildings,Completed,Mobile Device,12/1/22 9:39,1/10/23 15:48,1/10/23 15:48,1507 N CLYBOURN AVE,,,,1507,N,CLYBOURN,AVE,FALSE,FALSE,,,8,27,,O019,2,18,1822,37,,9,5,12,1171343.184,1910259.682,41.909229,-87.6460005,"(41.909229000940556, -87.64600050000192)"
SR23-00066798,Restaurant Complaint,HFB,Health,Health,Completed,E-Mail,1/13/23 10:11,1/24/23 8:32,1/24/23 8:32,3139 N BROADWAY,,,,3139,N,BROADWAY,,FALSE,FALSE,,,6,44,,O015,3,19,1934,17,,10,6,1,1171717.939,1921043.504,41.93881206,-87.64430551,"(41.93881206183528, -87.64430550991699)"
SR23-00324220,Water On Street Complaint,AAE,Health,DWM - Department of Water Management,Completed,Phone Call,3/1/23 14:54,3/2/23 8:01,3/2/23 8:01,2448 N AUSTIN AVE,,,,2448,N,AUSTIN,AVE,FALSE,FALSE,,,19,30,,A016,1,25,2512,11,,14,4,3,1135898.217,1915843.779,41.925258,-87.7760775,"(41.92525800094061, -87.77607750000192)"
SR23-00315159,Restaurant Complaint,HFB,Health,Health,Open,E-Mail,2/28/23 10:17,3/3/23 15:22,,5500 N ST LOUIS AVE,,,,5500,N,ST LOUIS,AVE,FALSE,FALSE,,,13,39,,G009,1,17,1712,35,,10,3,2,1151401.898,1936392.652,41.981355,-87.7185675,"(41.981355000940795, -87.71856750000191)"
SR23-00102009,No Building Permit and Construction Violation,BBD,Health,DOB - Buildings,Completed,Alderman's Office,1/20/23 9:41,3/2/23 15:50,3/2/23 15:50,2640 W PRATT AVE,,,,2640,W,PRATT,AVE,FALSE,FALSE,,,2,50,,J005,1,24,2411,21,,9,6,1,1157287.564,1945087.837,42.005097,-87.696684,"(42.00509700094088, -87.69668400000191)"
